ID,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
1176,High,Medium,Public,Positive,2,No,High School,Moderate,Female,65
1177,High,Medium,Public,Neutral,3,No,Postgraduate,Near,Female,67
1178,Low,Medium,Public,Positive,3,No,High School,Near,Female,69
1179,Low,High,Private,Negative,2,No,High School,Near,Male,66
1180,Medium,Medium,Private,Positive,2,No,High School,Near,Male,69
1181,Medium,Medium,Private,Neutral,3,No,High School,Near,Male,67
1182,Low,Low,Public,Negative,2,No,College,Near,Male,64
1183,Medium,Medium,Public,Neutral,2,No,College,Moderate,Male,67
1184,Low,High,Public,Positive,3,No,High School,Far,Female,61
1185,High,Medium,Public,Negative,2,No,High School,Moderate,Female,61
1186,Medium,Medium,Public,Neutral,2,No,High School,Far,Male,68
1187,Low,High,Public,Neutral,5,No,Postgraduate,Moderate,Male,66
1188,High,Medium,Public,Negative,4,No,High School,Moderate,Male,66
1189,Low,,Public,Positive,4,No,College,Near,Female,68
1190,Medium,High,Private,Neutral,2,No,High School,Near,Male,63
1191,Medium,High,Private,Neutral,3,No,Postgraduate,Moderate,Female,66
1192,Medium,Medium,Public,Neutral,4,No,College,Far,Female,66
1193,High,High,Private,Neutral,3,No,College,Near,Female,66
1194,Medium,Medium,Public,Negative,4,No,High School,Near,Male,65
1195,High,Medium,Public,Positive,2,No,College,Moderate,Male,69
1196,High,Medium,Private,Positive,2,No,High School,Near,Female,71
1197,Medium,High,Public,Positive,2,Yes,College,Near,Female,66
1198,Medium,Medium,Public,Negative,3,No,High School,Moderate,Female,66
1199,Low,Medium,Private,Positive,4,No,High School,Near,Male,65
1200,Low,Medium,Public,Neutral,4,No,High School,Moderate,Female,71
1201,Medium,High,Private,Neutral,2,No,High School,Far,Male,69
1202,Low,Medium,Public,Positive,3,No,High School,Near,Female,61
1203,Low,High,Public,Neutral,4,No,High School,Near,Female,70
1204,High,Medium,Public,Positive,4,No,College,Near,Female,70
1205,High,High,Public,Negative,4,No,High School,Near,Female,65
1206,Medium,Medium,Public,Negative,1,No,Postgraduate,Moderate,Male,64
1207,High,Medium,Public,Neutral,4,No,Postgraduate,Near,Female,68
1208,Low,Medium,Private,Neutral,2,No,High School,Near,Female,63
1209,Low,Medium,Private,Positive,3,No,College,Near,Male,63
1210,High,Medium,Public,Positive,3,No,College,Near,Female,71
1211,Medium,Medium,Public,Neutral,2,No,High School,Near,Male,58
1212,Medium,Medium,Public,Neutral,2,No,High School,Moderate,Female,68
1213,High,Low,Public,Neutral,4,No,High School,Near,Male,65
1214,Low,Medium,Public,Positive,3,No,College,Near,Female,65
1215,Medium,High,Public,Positive,2,No,High School,Near,Male,68
1216,Low,Low,Public,Neutral,1,No,High School,Far,Male,69
1217,High,Medium,Public,Positive,1,No,High School,Near,Male,71
1218,Low,Low,Private,Positive,2,No,Postgraduate,Moderate,Male,65
1219,Medium,High,Public,Neutral,5,No,Postgraduate,Near,Female,64
1220,High,High,Private,Positive,4,No,College,Moderate,Male,75
1221,Low,High,Public,Positive,4,No,High School,Near,Female,67
1222,Medium,High,Public,Neutral,3,No,College,Far,Female,68
1223,Medium,Medium,Public,Positive,1,No,College,Moderate,Female,72
1224,Medium,Medium,Public,Positive,4,No,Postgraduate,Moderate,Female,67
1225,High,Medium,Public,Positive,3,No,High School,Near,Male,72
1226,Low,High,Public,Negative,3,No,Postgraduate,Moderate,Male,69
1227,High,High,Public,Positive,3,No,Postgraduate,Moderate,Male,68
1228,Medium,Medium,Private,Negative,6,No,High School,Near,Male,70
1229,Low,Medium,Public,Neutral,3,Yes,College,Near,Female,69
1230,Low,Medium,Public,Negative,1,No,College,Moderate,Male,67
1231,Low,Low,Public,Neutral,3,No,College,Near,Female,63
1232,Low,Medium,Private,Positive,2,No,High School,Moderate,Male,61
1233,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,66
1234,Low,Medium,Private,Neutral,4,No,High School,Near,Male,73
1235,Medium,High,Public,Neutral,3,No,College,Moderate,Male,67
1236,High,High,Public,Neutral,2,No,High School,Near,Female,72
1237,Low,Medium,Public,Positive,4,Yes,Postgraduate,Far,Male,69
1238,Medium,Medium,Public,Positive,4,No,High School,Moderate,Female,69
1239,Low,Medium,Public,Negative,3,Yes,College,Moderate,Male,63
1240,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,67
1241,High,Medium,Public,Positive,2,No,High School,Moderate,Female,63
1242,Medium,Low,Private,Negative,4,No,College,Near,Male,66
1243,Low,High,Public,Positive,4,No,High School,Moderate,Female,62
1244,Low,High,Private,Positive,4,No,Postgraduate,Near,Male,68
1245,Low,Medium,Public,Neutral,4,No,Postgraduate,Near,Female,65
1246,Medium,Low,Public,Neutral,4,Yes,College,Near,Male,59
1247,Medium,Medium,Public,Negative,1,No,College,Moderate,Male,72
1248,High,High,Private,Neutral,2,No,Postgraduate,Near,Male,63
1249,Medium,High,Public,Neutral,4,No,Postgraduate,Near,Male,68
1250,Medium,High,Public,Negative,2,No,High School,Moderate,Male,61
1251,Low,High,Private,Neutral,3,No,High School,Near,Female,65
1252,Low,High,Public,Positive,3,No,High School,Moderate,Female,68
1253,Low,Medium,Public,Neutral,4,No,College,Moderate,Male,61
1254,Low,,Private,Neutral,3,No,Postgraduate,Near,Male,63
1255,Medium,Low,Public,Negative,2,No,Postgraduate,Near,Male,67
1256,High,High,Public,Positive,3,Yes,Postgraduate,Moderate,Male,66
1257,Medium,Medium,Private,Positive,2,No,Postgraduate,Near,Male,75
1258,Medium,Medium,Public,Positive,4,No,High School,Near,Male,68
1259,Medium,Medium,Public,Negative,3,No,High School,Near,Female,65
1260,Low,High,Public,Negative,4,No,High School,Near,Female,64
1261,Low,Medium,Public,Positive,3,No,,Near,Male,67
1262,Low,Medium,Private,Neutral,3,No,College,Near,Male,64
1263,Low,High,Public,Neutral,2,Yes,Postgraduate,Moderate,Female,67
1264,Low,Medium,Private,Neutral,0,No,High School,Near,Male,63
1265,Medium,Medium,Private,Positive,2,No,College,Moderate,Female,67
1266,High,Medium,Private,Negative,2,No,Postgraduate,Near,Female,65
1267,Low,High,Public,Neutral,2,No,High School,Near,Female,70
1268,High,Low,Public,Neutral,3,No,High School,Moderate,Male,62
1269,Low,High,Public,Neutral,3,No,High School,Moderate,Female,69
1270,Medium,Medium,Public,Negative,3,No,College,Moderate,Female,70
1271,Low,High,Private,Neutral,2,No,High School,Moderate,Male,68
1272,Low,High,Public,Positive,4,No,Postgraduate,Moderate,Female,68
1273,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,64
1274,Low,Medium,Private,Neutral,1,No,High School,Moderate,Male,63
1275,High,High,Public,Positive,2,No,Postgraduate,Moderate,Female,68
1276,Low,Low,Public,Neutral,2,No,High School,Far,Female,67
1277,Low,Medium,Private,Neutral,4,No,College,Moderate,Female,68
1278,Low,Medium,Public,Positive,2,No,College,Moderate,Female,66
1279,Medium,Medium,Private,Negative,1,No,Postgraduate,Near,Male,67
1280,Medium,Medium,Public,Neutral,4,Yes,High School,Moderate,Male,69
1281,High,Medium,Private,Negative,3,No,,Far,Male,68
1282,Medium,Medium,Public,Positive,3,Yes,College,Moderate,Male,70
1283,Medium,Medium,Private,Negative,4,No,Postgraduate,Moderate,Female,68
1284,Low,Medium,Public,Neutral,2,No,College,Near,Male,66
1285,Low,Medium,Private,Neutral,4,No,Postgraduate,Moderate,Female,67
1286,High,Low,Public,Neutral,4,No,High School,Moderate,Female,65
1287,Medium,Medium,Public,Neutral,5,No,High School,Moderate,Male,67
1288,Medium,Low,Public,Negative,4,Yes,High School,Near,Male,63
1289,Low,Medium,Public,Negative,2,No,High School,Moderate,Female,64
1290,Low,Medium,Public,Neutral,3,No,College,Near,Female,64
1291,Medium,Medium,Private,Neutral,3,No,College,Moderate,Female,66
1292,Medium,Medium,Private,Positive,4,Yes,High School,Near,Male,68
1293,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,67
1294,Medium,Medium,Public,Positive,2,No,College,Near,Male,72
1295,Low,Medium,Public,Positive,4,No,High School,Near,Male,67
1296,Medium,Low,Public,Neutral,3,No,College,Moderate,Female,66
1297,Low,Medium,Public,Positive,3,No,College,Near,Female,66
1298,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,67
1299,Low,Medium,Private,Neutral,3,No,Postgraduate,Far,Male,65
1300,Medium,High,Public,Negative,3,No,College,Far,Male,70
1301,Low,High,Private,Neutral,4,No,Postgraduate,Near,Female,69
1302,High,High,Private,Negative,3,No,High School,Moderate,Male,69
1303,Medium,Medium,Public,Negative,4,No,College,Near,Female,66
1304,Medium,Medium,Public,Neutral,4,No,High School,Far,Male,66
1305,Low,Medium,Public,Negative,3,No,College,Moderate,Female,67
1306,Medium,Low,Public,Positive,3,No,High School,Near,Male,67
1307,Medium,Medium,Public,Positive,4,No,High School,Near,Male,67
1308,High,High,Public,Neutral,3,No,High School,Near,Female,72
1309,Medium,High,Public,Neutral,4,No,College,Moderate,Female,68
1310,Medium,Medium,Public,Positive,2,Yes,Postgraduate,Near,Male,70
1311,Low,Medium,Public,Positive,4,No,High School,Moderate,Male,69
1312,Low,Medium,Public,Positive,4,No,High School,Moderate,Male,65
1313,Medium,Medium,Public,Negative,3,No,Postgraduate,Far,Male,72
1314,Low,Medium,Public,Neutral,4,No,College,Far,Female,69
1315,High,Medium,Public,Positive,4,No,High School,Near,Female,68
1316,Low,Medium,Public,Negative,2,No,High School,Moderate,Male,62
1317,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Male,60
1318,Medium,Medium,Public,Neutral,4,No,High School,Moderate,Male,67
1319,Medium,Medium,Public,Neutral,4,No,College,Near,Male,67
1320,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,67
1321,Low,Medium,Private,Neutral,4,No,High School,Near,Female,63
1322,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,71
1323,Medium,Medium,Private,Positive,2,No,College,Near,Female,66
1324,Medium,Medium,Public,Neutral,1,No,Postgraduate,Near,Female,65
1325,Medium,Medium,Public,Positive,2,No,High School,Moderate,Female,69
1326,Medium,Medium,Public,Positive,1,No,High School,Near,Female,63
1327,Low,Low,Public,Negative,2,No,Postgraduate,Moderate,Female,64
1328,Low,Medium,Private,Neutral,0,Yes,College,Near,Female,67
1329,Low,High,Public,Negative,2,No,High School,Moderate,Male,62
1330,Medium,Medium,Public,Neutral,2,No,High School,Far,Male,68
1331,Low,,Public,Neutral,3,No,Postgraduate,Moderate,Male,71
1332,Low,Medium,Public,Negative,3,No,High School,Moderate,Female,66
1333,Low,Medium,Public,Positive,1,No,Postgraduate,Near,Female,69
1334,Medium,High,Private,Neutral,4,No,High School,Moderate,Male,71
1335,Medium,High,Private,Neutral,4,No,High School,Near,Female,66
1336,Low,Medium,Public,Positive,3,No,Postgraduate,Near,Female,72
1337,High,High,Public,Positive,4,No,College,Near,Female,70
1338,Low,High,Private,Neutral,3,No,Postgraduate,Near,Female,65
1339,Medium,High,Public,Positive,2,No,College,Near,Female,64
1340,Low,Medium,Public,Positive,2,No,College,Moderate,Male,63
1341,Medium,Medium,Private,Positive,2,No,High School,Near,Male,63
1342,Medium,Medium,Public,Positive,2,No,High School,Moderate,Male,66
1343,Low,High,Public,Negative,4,No,College,Moderate,Male,68
1344,High,High,Public,Neutral,4,No,College,Near,Male,74
1345,High,Low,Private,Negative,2,No,College,Near,Female,71
1346,Low,High,Public,Negative,3,No,High School,Moderate,Female,67
1347,Medium,High,Public,Positive,3,No,Postgraduate,Near,Female,66
1348,Medium,Medium,Private,Negative,6,No,College,Near,Male,67
1349,Low,Medium,Public,Positive,1,Yes,High School,Moderate,Male,62
1350,High,High,Private,Positive,5,No,Postgraduate,Near,Male,68
1351,Low,Medium,Public,Positive,3,No,Postgraduate,Near,Male,62
1352,High,Medium,Private,Neutral,2,No,High School,Near,Male,82
1353,Medium,Medium,Public,Positive,2,Yes,High School,Near,Male,70
1354,Medium,Low,Private,Negative,2,No,College,Near,Male,72
1355,Medium,Medium,Public,Positive,4,No,College,Near,Female,64
1356,Medium,High,Public,Neutral,4,No,College,Near,Male,66
1357,Medium,Low,Private,Positive,3,No,College,Near,Female,68
1358,High,Medium,Public,Neutral,3,No,Postgraduate,Far,Male,64
1359,Medium,High,Public,Neutral,3,No,High School,Near,Female,61
1360,Medium,Medium,Public,Positive,1,No,High School,Moderate,Male,69
1361,High,High,Private,Neutral,2,No,College,Near,Male,68
1362,Medium,Medium,Public,Positive,5,No,College,Near,Male,64
1363,Low,High,Private,Negative,4,No,High School,Moderate,Female,67
1364,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Male,67
1365,High,Medium,Public,Negative,2,No,High School,Near,Male,65
1366,Medium,High,Public,Positive,3,No,High School,Near,Female,68
1367,Medium,Low,Public,Positive,3,No,High School,Near,Male,67
1368,Low,,Public,Positive,3,No,Postgraduate,Moderate,Male,67
1369,High,Medium,Public,Negative,4,No,High School,Near,Male,64
1370,Medium,Medium,Public,Positive,3,No,College,Near,Female,70
1371,Low,Low,Private,Neutral,3,No,College,Moderate,Male,69
1372,High,High,Private,Positive,2,No,High School,Far,Male,66
1373,Medium,Medium,Public,Neutral,3,No,Postgraduate,Moderate,Male,69
1374,Low,High,Private,Positive,2,No,High School,Near,Male,66
1375,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,73
1376,High,High,Private,Positive,4,No,Postgraduate,Moderate,Male,66
1377,Medium,Medium,Public,Neutral,2,No,Postgraduate,Moderate,Male,69
1378,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,70
1379,Medium,Medium,Private,Positive,5,Yes,College,Far,Male,71
1380,Medium,High,Public,Positive,4,No,College,Near,Male,70
1381,Low,Medium,Private,Neutral,4,No,High School,Near,Male,69
1382,Medium,High,Private,Negative,3,No,High School,Moderate,Male,63
1383,Medium,High,Public,Positive,3,Yes,High School,Near,Female,71
1384,Medium,Medium,Public,Negative,2,No,College,Near,Male,67
1385,Medium,High,Public,Neutral,2,No,High School,Near,Female,73
1386,High,Medium,Public,Neutral,2,No,College,Moderate,Male,68
1387,High,Low,Public,Neutral,3,No,High School,Near,Male,69
1388,Medium,Medium,Private,Neutral,3,No,High School,Moderate,Female,76
1389,Low,High,Public,Positive,3,No,High School,Near,Male,68
1390,Low,Medium,Private,Negative,3,No,College,Near,Male,65
1391,High,Low,Public,Positive,1,No,High School,Near,Female,66
1392,Low,Medium,Public,Positive,2,No,Postgraduate,Near,Male,65
1393,Low,High,Private,Negative,3,No,High School,Moderate,Male,69
1394,Medium,Medium,Public,Neutral,1,No,High School,,Male,71
1395,High,Medium,Public,Positive,3,No,High School,Moderate,Male,66
1396,Low,Medium,Public,Negative,3,Yes,High School,Near,Female,69
1397,Low,Medium,Public,Neutral,4,No,College,Near,Male,59
1398,High,Medium,Public,Positive,3,No,High School,Near,Male,65
1399,Low,Low,Public,Neutral,2,No,College,Near,Male,72
1400,Medium,Medium,Public,Negative,2,No,College,,Male,60
1401,High,Medium,Private,Positive,4,No,College,Moderate,Female,64
1402,Low,Medium,Public,Positive,4,No,Postgraduate,Near,Male,69
1403,Medium,High,Private,Positive,3,No,High School,Near,Female,70
1404,High,Medium,Public,Positive,3,No,College,Far,Male,67
1405,Medium,Medium,Private,Positive,5,Yes,High School,Near,Female,67
1406,Low,Medium,Private,Neutral,3,No,College,Far,Male,64
1407,Medium,High,Private,Negative,2,No,High School,Far,Male,68
1408,Low,High,Private,Positive,4,No,High School,Near,Female,72
1409,Low,Medium,Private,Neutral,3,No,High School,Near,Female,65
1410,Medium,Medium,Public,Neutral,2,No,College,Moderate,Male,70
1411,Low,Medium,Private,Positive,5,No,Postgraduate,Near,Male,75
1412,Low,High,Private,Neutral,4,No,High School,Near,Male,65
1413,Low,Medium,Public,Neutral,3,Yes,College,Moderate,Female,63
1414,Low,Medium,Private,Positive,3,Yes,High School,Near,Male,71
1415,Medium,Medium,Public,Positive,2,No,College,Near,Female,66
1416,Low,Medium,Private,Neutral,3,No,High School,Moderate,Female,69
1417,High,Low,Private,Positive,3,No,Postgraduate,Moderate,Female,68
1418,Medium,High,Public,Positive,2,No,Postgraduate,Near,Male,71
1419,Low,Low,Public,Neutral,2,No,Postgraduate,Near,Male,77
1420,Medium,High,Public,Neutral,2,No,College,Near,Female,70
1421,High,Medium,Public,Negative,3,No,College,Near,Female,66
1422,High,High,Public,Positive,3,No,College,Moderate,Female,73
1423,Low,Medium,Private,Negative,3,No,College,Moderate,Male,62
1424,Medium,Medium,Public,Neutral,2,No,High School,Moderate,Female,65
1425,Low,Medium,Public,Neutral,2,No,Postgraduate,Near,Male,71
1426,Low,Medium,Public,Negative,4,No,College,Near,Male,66
1427,Low,Medium,Public,Positive,3,No,High School,Near,Female,72
1428,Medium,High,Private,Negative,4,No,High School,Near,Male,64
1429,Low,Low,Private,Neutral,4,No,High School,Near,Female,63
1430,Low,Medium,Public,Positive,3,No,High School,Near,Male,63
1431,Medium,High,Public,Neutral,2,No,High School,Near,Female,72
1432,Medium,High,Public,Positive,2,No,High School,Moderate,Male,71
1433,Medium,Medium,Public,Positive,2,No,High School,Moderate,Female,72
1434,Medium,High,Private,Neutral,2,No,High School,Near,Male,65
1435,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,67
1436,Low,Medium,Public,Positive,4,No,High School,Moderate,Female,68
1437,Low,Medium,Private,Neutral,2,No,Postgraduate,Far,Male,66
1438,High,Medium,Public,Positive,3,No,Postgraduate,Near,Male,72
1439,Low,Low,Public,Neutral,3,No,High School,Moderate,Female,71
1440,Low,High,Public,Positive,3,Yes,College,Moderate,Female,70
1441,Medium,Low,Public,Neutral,3,No,Postgraduate,Near,Female,68
1442,Low,Medium,Private,Positive,4,No,College,Near,Female,72
1443,Low,High,Public,Neutral,3,No,College,Near,Male,66
1444,Medium,High,Public,Positive,6,No,High School,Near,Male,69
1445,Medium,Medium,Public,Positive,1,No,College,Near,Male,65
1446,Low,High,Public,Positive,3,No,High School,Far,Male,62
1447,Low,High,Public,Positive,1,No,College,Moderate,Female,69
1448,Medium,Low,Public,Negative,4,No,High School,Near,Male,65
1449,Low,Low,Private,Neutral,4,No,College,Near,Female,69
1450,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,69
1451,Low,,Private,Neutral,5,No,College,Near,Female,73
1452,Medium,Medium,Private,Neutral,2,No,Postgraduate,Near,Female,75
1453,Low,High,Private,Positive,3,No,College,Far,Male,70
1454,Low,Medium,Private,Negative,3,No,College,Near,Female,74
1455,Low,Low,Public,Positive,3,No,High School,Near,Male,65
1456,Medium,Medium,Public,Negative,3,No,College,Near,Male,63
1457,Medium,High,Public,Negative,4,No,College,Near,Female,74
1458,Low,Medium,Private,Neutral,2,No,Postgraduate,Near,Male,67
1459,Medium,Medium,Public,Positive,4,No,Postgraduate,Near,Female,71
1460,Low,High,Public,Neutral,3,No,College,Moderate,Female,68
1461,Medium,Medium,Public,Negative,4,No,College,Near,Female,69
1462,Medium,Medium,Public,Positive,4,No,Postgraduate,Near,Male,71
1463,Medium,Medium,Public,Neutral,2,No,High School,Near,Female,66
1464,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,65
1465,Low,High,Private,Negative,2,No,College,Moderate,Female,66
1466,Low,Medium,Private,Negative,2,No,High School,Near,Male,65
1467,Medium,Medium,Public,Neutral,4,No,Postgraduate,Moderate,Female,67
1468,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Male,70
1469,Low,Medium,Public,Positive,4,No,Postgraduate,Near,Male,63
1470,Medium,High,Private,Neutral,3,No,Postgraduate,Moderate,Male,64
1471,Medium,Medium,Private,Neutral,1,No,High School,Near,Male,71
1472,Low,High,Public,Positive,3,No,College,Moderate,Female,68
1473,High,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,72
1474,High,Medium,Public,Neutral,4,No,College,Near,Male,71
1475,Low,Low,Private,Positive,2,No,Postgraduate,Moderate,Male,64
1476,Medium,High,Public,Neutral,5,No,High School,Moderate,Male,64
1477,High,Medium,Private,Negative,2,No,College,Moderate,Male,66
1478,Medium,,Public,Positive,3,No,High School,Moderate,Female,68
1479,Low,Low,Private,Positive,2,No,High School,Far,Male,68
1480,Low,Medium,Public,Positive,5,No,High School,Near,Male,65
1481,Medium,Medium,Private,Positive,3,No,High School,Near,Male,67
1482,Low,Medium,Public,Negative,2,No,High School,Near,Male,64
1483,Medium,Medium,Public,Neutral,4,No,College,Near,Male,70
1484,Low,Medium,Public,Positive,2,No,College,Near,Male,65
1485,Medium,High,Public,Negative,3,No,High School,Moderate,Female,65
1486,Medium,Medium,Public,Positive,4,No,High School,Near,Male,68
1487,High,Medium,Public,Negative,3,No,High School,Moderate,Male,61
1488,Medium,,Public,Neutral,3,No,High School,Near,Male,63
1489,Medium,Medium,Public,Neutral,2,No,College,Near,Female,65
1490,Low,Medium,Private,Neutral,5,No,High School,Far,Female,69
1491,Low,High,Public,Positive,2,No,College,Near,Male,64
1492,Low,Medium,Private,Neutral,2,No,High School,Near,Female,69
1493,High,Medium,Public,Neutral,3,Yes,Postgraduate,Near,Male,67
1494,Medium,High,Public,Neutral,1,No,Postgraduate,Moderate,Male,74
1495,Low,Medium,Private,Negative,3,Yes,College,Near,Male,66
1496,High,Low,Public,Neutral,4,Yes,College,Near,Male,72
1497,Low,Medium,Public,Neutral,5,No,College,Moderate,Male,73
1498,Medium,High,Public,Positive,4,No,College,Near,Male,73
1499,Medium,Medium,Public,Negative,2,No,High School,Moderate,Male,63
1500,Low,Medium,Public,Negative,2,No,Postgraduate,Near,Male,69
1501,Low,Medium,Public,Neutral,6,No,Postgraduate,Near,Male,71
1502,Low,High,Public,Neutral,4,No,College,Moderate,Male,63
1503,High,Low,Public,Positive,5,No,High School,Moderate,Female,69
1504,Medium,Medium,Private,Neutral,3,No,College,Moderate,Male,72
1505,Low,Medium,Public,Positive,4,Yes,Postgraduate,Moderate,Female,68
1506,Medium,Medium,Public,Negative,3,No,High School,Near,Female,62
1507,Low,Medium,Private,Neutral,2,No,High School,Near,Male,68
1508,Low,Medium,Public,Negative,2,No,Postgraduate,Near,Male,71
1509,High,High,Public,Neutral,3,Yes,High School,Moderate,Male,67
1510,Low,Medium,Private,Positive,3,No,College,Moderate,Female,65
1511,Medium,High,Public,Neutral,3,Yes,Postgraduate,Far,Male,60
1512,High,Medium,Public,Neutral,2,No,High School,Near,Male,68
1513,Medium,Low,Public,Negative,3,Yes,High School,Near,Male,59
1514,High,Medium,Public,Neutral,0,No,,Moderate,Female,64
1515,Low,Low,Public,Neutral,3,No,High School,Moderate,Male,71
1516,High,,Public,Neutral,2,No,College,Moderate,Female,68
1517,Low,Medium,Public,Neutral,3,Yes,College,Moderate,Male,70
1518,Medium,High,Public,Neutral,4,No,College,Near,Female,62
1519,High,Medium,Public,Neutral,3,No,College,Near,Male,62
1520,Medium,Medium,Private,Neutral,3,No,High School,Near,Male,68
1521,Medium,Medium,Private,Negative,3,No,High School,Near,Female,68
1522,Low,Low,Public,Positive,4,No,High School,Near,Female,74
1523,High,Medium,Public,Positive,4,Yes,College,Near,Male,61
1524,Low,High,Public,Neutral,5,No,College,Near,Male,67
1525,High,High,Public,Positive,2,No,High School,Moderate,Female,65
1526,High,High,Public,Positive,3,No,High School,Moderate,Female,101
1527,Low,Medium,Public,Neutral,4,No,High School,Moderate,Male,65
1528,Medium,Medium,Private,Neutral,4,Yes,College,Near,Male,67
1529,Low,Medium,Public,Positive,3,Yes,High School,Near,Female,61
1530,Medium,High,Public,Neutral,4,Yes,High School,Near,Male,64
1531,Medium,High,Public,Positive,3,Yes,College,Far,Female,64
1532,Low,Low,Public,Neutral,2,No,College,Near,Male,67
1533,High,High,Private,Positive,3,No,College,Near,Female,69
1534,Medium,High,Public,Positive,2,No,Postgraduate,Moderate,Female,69
1535,Low,Medium,Public,Positive,3,No,High School,Near,Female,67
1536,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Male,62
1537,Low,Medium,Private,Neutral,1,No,High School,Near,Male,66
1538,Medium,High,Public,Positive,4,No,College,Near,Male,72
1539,Medium,Medium,Public,Positive,3,No,College,Near,Female,67
1540,Low,Medium,Public,Negative,3,No,College,Moderate,Female,66
1541,Low,Medium,Public,Neutral,4,No,High School,Moderate,Male,67
1542,Medium,Medium,Public,Positive,4,No,High School,Near,Female,67
1543,Medium,Low,Public,Positive,4,No,Postgraduate,Near,Female,68
1544,Low,High,Public,Positive,2,No,High School,Near,Male,63
1545,Medium,Medium,Public,Negative,2,No,High School,Far,Male,62
1546,Medium,High,Public,Negative,2,Yes,College,Moderate,Female,65
1547,Low,Medium,Public,Positive,6,No,College,Moderate,Male,65
1548,Medium,High,Public,Positive,2,Yes,College,Near,Female,70
1549,Low,Medium,Public,Positive,4,No,High School,Near,Male,73
1550,Medium,High,Public,Positive,2,No,Postgraduate,Near,Female,73
1551,Low,Medium,Private,Negative,2,No,High School,Moderate,Male,68
1552,Medium,Medium,Public,Positive,1,No,High School,Moderate,Male,63
1553,High,High,Public,Positive,2,No,High School,Near,Male,62
1554,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Male,69
1555,Medium,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,66
1556,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,68
1557,Low,Medium,Private,Positive,3,No,College,Far,Female,67
1558,Low,High,Private,Negative,4,No,College,Near,Female,65
1559,High,Medium,Public,Positive,3,No,College,Moderate,Male,70
1560,High,High,Private,Positive,1,No,High School,Moderate,Female,64
1561,Medium,High,Private,Neutral,3,No,High School,Moderate,Male,65
1562,Low,High,Private,Neutral,2,No,Postgraduate,Far,Female,67
1563,High,Medium,Private,Neutral,4,No,Postgraduate,Moderate,Female,62
1564,Low,Medium,Public,Positive,4,No,High School,Moderate,Male,66
1565,High,Medium,Public,Positive,2,No,College,Near,Female,68
1566,Medium,High,Public,Positive,4,No,College,Moderate,Female,64
1567,Low,Medium,Public,Negative,3,No,High School,Moderate,Male,69
1568,High,Medium,Private,Positive,2,No,High School,Near,Female,69
1569,Medium,Medium,Public,Positive,5,No,High School,Moderate,Female,67
1570,Low,High,Public,Neutral,3,Yes,College,Moderate,Male,61
1571,Medium,Medium,Public,Positive,4,Yes,Postgraduate,Moderate,Female,70
1572,High,Medium,Public,Negative,4,No,College,Near,Female,65
1573,Low,Medium,Public,Positive,4,Yes,College,Moderate,Male,66
1574,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Male,66
1575,Medium,Medium,Public,Negative,3,No,High School,Moderate,Male,69
1576,Medium,Medium,Public,Positive,1,No,High School,Near,Female,67
1577,High,Medium,Private,Positive,2,No,Postgraduate,Near,Female,71
1578,Low,High,Private,Neutral,4,No,High School,Near,Male,68
1579,Medium,Medium,Public,Positive,3,No,High School,Near,Female,67
1580,Low,Medium,Public,Neutral,4,Yes,High School,Near,Female,63
1581,High,High,Private,Positive,2,No,College,Near,Female,64
1582,Low,Medium,Public,Neutral,3,No,College,Moderate,Male,73
1583,Low,Medium,Private,Positive,3,No,High School,Moderate,Male,69
1584,Medium,Medium,Public,Positive,3,No,High School,Near,Female,65
1585,Medium,High,Private,Positive,5,No,Postgraduate,Near,Male,70
1586,Low,High,Public,Positive,2,No,High School,Near,Female,67
1587,Low,Medium,Public,Positive,3,No,Postgraduate,Moderate,Female,67
1588,Low,Medium,Public,Positive,3,No,High School,Near,Male,70
1589,High,High,Public,Negative,2,No,Postgraduate,Near,Female,69
1590,Medium,Medium,Public,Neutral,2,Yes,High School,Near,Male,68
1591,Low,High,Public,Positive,3,Yes,College,Near,Male,66
1592,Low,Low,Public,Positive,4,No,,Near,Male,62
1593,High,Medium,Public,Positive,4,No,High School,Near,Male,67
